age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,previous,poutcome,y
51,blue-collar,married,3.0,yes,no,telephone,5,1,812,1,0,nonexistent,0
42,blue-collar,married,2.0,yes,no,telephone,5,1,164,1,0,nonexistent,0
42,blue-collar,married,2.0,no,no,telephone,5,1,366,1,0,nonexistent,0
48,admin.,married,4.0,no,no,telephone,5,1,357,1,0,nonexistent,0
37,admin.,married,6.0,no,no,telephone,5,1,232,1,0,nonexistent,0
44,blue-collar,single,3.0,yes,no,telephone,5,1,91,1,0,nonexistent,0
33,admin.,married,4.160934688394962,yes,no,telephone,5,1,273,1,0,nonexistent,0
56,admin.,married,3.0,yes,no,telephone,5,1,158,2,0,nonexistent,0
44,blue-collar,single,1.0,yes,yes,telephone,5,1,177,1,0,nonexistent,0
41,management,married,2.0,no,no,telephone,5,1,200,1,0,nonexistent,0
44,management,divorced,6.0,yes,no,telephone,5,1,172,1,0,nonexistent,0
47,admin.,married,6.0,yes,no,telephone,5,1,176,1,0,nonexistent,0
57,,married,4.160934688394962,no,no,telephone,5,1,211,1,0,nonexistent,0
37,admin.,married,6.0,yes,no,telephone,5,1,214,1,0,nonexistent,0
41,blue-collar,divorced,1.0,yes,no,telephone,5,1,1575,1,0,nonexistent,1
55,technician,married,6.0,no,no,telephone,5,1,349,1,0,nonexistent,0
33,services,married,4.0,yes,no,telephone,5,1,337,2,0,nonexistent,0
55,management,married,4.160934688394962,yes,no,telephone,5,1,272,1,0,nonexistent,0
42,blue-collar,married,3.0,no,no,telephone,5,1,208,1,0,nonexistent,0
50,blue-collar,married,1.0,yes,no,telephone,5,1,193,1,0,nonexistent,0
51,blue-collar,married,1.0,,,telephone,5,1,212,1,0,nonexistent,0
38,admin.,married,4.0,no,no,telephone,5,1,165,2,0,nonexistent,0
49,entrepreneur,married,6.0,yes,no,telephone,5,1,1042,1,0,nonexistent,1
38,technician,single,6.0,no,yes,telephone,5,1,20,1,0,nonexistent,0
31,admin.,divorced,4.0,no,no,telephone,5,1,246,1,0,nonexistent,0
41,management,married,2.0,no,no,telephone,5,1,529,2,0,nonexistent,0
39,admin.,married,6.0,yes,yes,telephone,5,1,192,1,0,nonexistent,0
49,technician,married,3.0,no,no,telephone,5,1,1467,1,0,nonexistent,1
34,admin.,married,4.0,yes,no,telephone,5,1,188,2,0,nonexistent,0
35,admin.,married,6.0,yes,no,telephone,5,1,180,2,0,nonexistent,0
57,,married,4.160934688394962,yes,no,telephone,5,1,48,1,0,nonexistent,0
60,admin.,married,4.160934688394962,no,yes,telephone,5,1,213,2,0,nonexistent,0
33,unemployed,married,3.0,no,no,telephone,5,1,545,1,0,nonexistent,0
42,blue-collar,married,2.0,no,yes,telephone,5,1,583,1,0,nonexistent,0
45,services,married,5.0,yes,no,telephone,5,1,221,1,0,nonexistent,0
42,management,married,6.0,no,no,telephone,5,1,426,1,0,nonexistent,0
53,admin.,divorced,6.0,no,no,telephone,5,1,287,1,0,nonexistent,0
37,technician,single,5.0,no,no,telephone,5,1,197,1,0,nonexistent,0
44,blue-collar,married,2.0,no,no,telephone,5,1,257,1,0,nonexistent,0
54,services,married,4.160934688394962,yes,no,telephone,5,1,229,1,0,nonexistent,0
49,blue-collar,married,1.0,no,no,telephone,5,1,55,3,0,nonexistent,0
54,services,married,4.160934688394962,no,no,telephone,5,1,400,1,0,nonexistent,0
52,admin.,divorced,6.0,no,no,telephone,5,1,197,1,0,nonexistent,0
52,admin.,divorced,6.0,no,no,telephone,5,1,190,1,0,nonexistent,0
43,services,single,4.0,no,no,telephone,5,1,21,1,0,nonexistent,0
34,housemaid,married,2.0,yes,no,telephone,5,1,300,2,0,nonexistent,0
35,admin.,married,4.0,yes,no,telephone,5,1,123,2,0,nonexistent,0
42,entrepreneur,married,4.160934688394962,yes,no,telephone,5,1,293,1,0,nonexistent,0
43,technician,married,4.160934688394962,yes,yes,telephone,5,1,325,1,0,nonexistent,0
60,retired,divorced,6.0,no,no,telephone,5,1,514,1,0,nonexistent,0
58,unemployed,married,1.0,no,no,telephone,5,1,849,2,0,nonexistent,0
35,services,divorced,4.0,yes,no,telephone,5,1,194,1,0,nonexistent,0
55,blue-collar,married,3.0,yes,no,telephone,5,1,212,2,0,nonexistent,0
37,management,married,6.0,no,no,telephone,5,1,337,2,0,nonexistent,0
36,blue-collar,married,4.0,no,no,telephone,5,1,286,1,0,nonexistent,0
52,admin.,divorced,6.0,no,no,telephone,5,1,247,2,0,nonexistent,0
57,blue-collar,divorced,4.160934688394962,yes,no,telephone,5,1,518,1,0,nonexistent,0
56,admin.,married,4.160934688394962,yes,no,telephone,5,1,364,1,0,nonexistent,0
48,blue-collar,divorced,1.0,yes,no,telephone,5,1,178,1,0,nonexistent,0
40,blue-collar,married,4.0,yes,no,telephone,5,1,98,1,0,nonexistent,0
49,blue-collar,divorced,4.0,no,no,telephone,5,1,439,1,0,nonexistent,0
41,services,married,4.0,no,no,telephone,5,1,139,1,0,nonexistent,0
45,technician,married,4.0,yes,no,telephone,5,1,79,1,0,nonexistent,0
32,admin.,married,6.0,yes,yes,telephone,5,1,175,1,0,nonexistent,0
42,admin.,married,6.0,no,yes,telephone,5,1,262,2,0,nonexistent,0
50,admin.,married,2.0,no,no,telephone,5,1,61,1,0,nonexistent,0
31,technician,divorced,5.0,yes,yes,telephone,5,1,78,1,0,nonexistent,0
56,retired,married,1.0,yes,no,telephone,5,1,102,2,0,nonexistent,0
41,technician,married,5.0,yes,no,telephone,5,1,579,1,0,nonexistent,1
37,blue-collar,married,2.0,yes,yes,telephone,5,1,143,1,0,nonexistent,0
41,technician,married,5.0,no,no,telephone,5,1,677,1,0,nonexistent,0
35,blue-collar,married,4.160934688394962,yes,no,telephone,5,1,267,1,0,nonexistent,0
37,blue-collar,married,2.0,yes,no,telephone,5,1,345,1,0,nonexistent,0
52,management,married,6.0,no,no,telephone,5,1,185,1,0,nonexistent,0
39,management,divorced,6.0,no,no,telephone,5,1,207,1,0,nonexistent,0
39,housemaid,married,1.0,no,no,telephone,5,1,69,2,0,nonexistent,0
56,blue-collar,married,1.0,no,no,telephone,5,1,100,2,0,nonexistent,0
34,services,married,4.0,yes,no,telephone,5,1,125,2,0,nonexistent,0
45,blue-collar,married,3.0,yes,no,telephone,5,1,461,1,0,nonexistent,1
43,unemployed,single,6.0,yes,no,telephone,5,1,240,1,0,nonexistent,0
56,management,married,4.160934688394962,yes,no,telephone,5,1,70,1,0,nonexistent,0
39,management,married,6.0,yes,no,telephone,5,1,193,1,0,nonexistent,0
53,blue-collar,married,1.0,yes,no,telephone,5,1,136,1,0,nonexistent,0
38,,divorced,4.0,yes,no,telephone,5,1,73,1,0,nonexistent,0
42,blue-collar,married,1.0,yes,no,telephone,5,1,528,1,0,nonexistent,0
42,blue-collar,married,1.0,no,no,telephone,5,1,541,1,0,nonexistent,0
35,admin.,single,4.0,yes,no,telephone,5,1,338,1,0,nonexistent,0
40,admin.,married,6.0,yes,no,telephone,5,1,163,1,0,nonexistent,0
51,blue-collar,married,1.0,yes,no,telephone,5,1,87,1,0,nonexistent,0
60,blue-collar,married,3.0,no,no,telephone,5,1,301,1,0,nonexistent,0
56,entrepreneur,married,4.160934688394962,yes,no,telephone,5,1,46,1,0,nonexistent,0
39,services,divorced,4.0,yes,no,telephone,5,1,52,1,0,nonexistent,0
56,entrepreneur,married,4.160934688394962,no,no,telephone,5,1,204,1,0,nonexistent,0
40,blue-collar,married,4.160934688394962,yes,yes,telephone,5,1,155,1,0,nonexistent,0
36,blue-collar,married,3.0,yes,yes,telephone,5,1,98,1,0,nonexistent,0
51,blue-collar,married,4.160934688394962,yes,no,telephone,5,1,71,1,0,nonexistent,0
51,blue-collar,married,4.160934688394962,no,no,telephone,5,1,243,1,0,nonexistent,0
43,technician,single,5.0,yes,no,telephone,5,1,186,2,0,nonexistent,0
59,services,married,4.0,no,no,telephone,5,1,579,2,0,nonexistent,0
24,management,single,6.0,yes,no,telephone,5,1,165,2,0,nonexistent,0
37,blue-collar,single,3.0,yes,yes,telephone,5,1,163,2,0,nonexistent,0
40,blue-collar,married,3.0,no,no,telephone,5,1,46,1,0,nonexistent,0
42,blue-collar,married,3.0,no,no,telephone,5,1,559,3,0,nonexistent,0
39,services,divorced,4.0,no,no,telephone,5,1,2033,1,0,nonexistent,0
37,entrepreneur,married,2.0,no,no,telephone,5,1,85,1,0,nonexistent,0
38,services,married,4.0,yes,yes,telephone,5,1,506,1,0,nonexistent,0
56,admin.,divorced,4.160934688394962,no,no,telephone,5,1,114,2,0,nonexistent,0
40,blue-collar,married,4.160934688394962,no,no,telephone,5,1,114,2,0,nonexistent,0
54,management,divorced,6.0,yes,no,telephone,5,1,843,2,0,nonexistent,0
43,blue-collar,married,4.0,no,yes,telephone,5,1,181,1,0,nonexistent,0
36,services,married,4.0,no,no,telephone,5,1,427,1,0,nonexistent,0
45,technician,married,6.0,yes,yes,telephone,5,1,292,1,0,nonexistent,0
42,admin.,single,6.0,no,no,telephone,5,1,192,1,0,nonexistent,0
43,services,married,4.0,no,no,telephone,5,1,93,3,0,nonexistent,0
46,management,married,3.0,no,no,telephone,5,1,128,2,0,nonexistent,0
44,services,married,4.0,yes,yes,telephone,5,1,107,1,0,nonexistent,0
51,admin.,single,2.0,no,no,telephone,5,1,303,2,0,nonexistent,0
28,services,married,4.0,yes,no,telephone,5,1,81,1,0,nonexistent,0
37,blue-collar,married,3.0,no,no,telephone,5,1,270,1,0,nonexistent,0
34,technician,married,4.0,no,no,telephone,5,1,228,1,0,nonexistent,0
46,blue-collar,married,2.0,yes,no,telephone,5,1,240,1,0,nonexistent,0
42,blue-collar,married,3.0,yes,yes,telephone,5,1,673,2,0,nonexistent,1
36,admin.,married,6.0,yes,no,telephone,5,1,233,3,0,nonexistent,0
54,blue-collar,married,1.0,no,no,telephone,5,1,102,1,0,nonexistent,0
57,management,married,6.0,no,no,telephone,5,1,461,1,0,nonexistent,0
51,technician,married,2.0,no,no,telephone,5,1,250,1,0,nonexistent,0
54,retired,married,4.0,no,no,telephone,5,1,130,1,0,nonexistent,0
49,blue-collar,married,1.0,no,no,telephone,5,1,252,1,0,nonexistent,0
34,admin.,married,6.0,yes,no,telephone,5,1,138,1,0,nonexistent,0
41,technician,married,5.0,no,no,telephone,5,1,412,1,0,nonexistent,0
38,blue-collar,single,3.0,yes,no,telephone,5,1,179,2,0,nonexistent,0
45,management,divorced,6.0,no,no,telephone,5,1,19,2,0,nonexistent,0
42,technician,married,6.0,no,no,telephone,5,1,228,2,0,nonexistent,0
34,blue-collar,single,3.0,yes,no,telephone,5,1,55,1,0,nonexistent,0
48,blue-collar,married,1.0,yes,no,telephone,5,1,717,1,0,nonexistent,0
37,admin.,married,4.0,yes,no,telephone,5,1,313,1,0,nonexistent,0
34,blue-collar,single,3.0,no,no,telephone,5,1,289,1,0,nonexistent,0
40,admin.,married,3.0,yes,no,telephone,5,1,683,2,0,nonexistent,0
43,blue-collar,married,2.0,yes,no,telephone,5,1,1077,1,0,nonexistent,0
33,services,married,4.0,no,no,telephone,5,1,146,2,0,nonexistent,0
32,services,single,2.0,no,no,telephone,5,1,167,1,0,nonexistent,0
39,blue-collar,married,4.0,yes,no,telephone,5,1,356,2,0,nonexistent,0
43,admin.,married,4.160934688394962,no,no,telephone,5,1,277,1,0,nonexistent,0
44,blue-collar,married,3.0,yes,no,telephone,5,1,172,1,0,nonexistent,0
35,student,single,6.0,no,no,telephone,5,1,218,1,0,nonexistent,0
35,student,single,6.0,yes,yes,telephone,5,1,217,1,0,nonexistent,0
35,unemployed,married,5.0,no,no,telephone,5,1,67,1,0,nonexistent,0
36,services,single,1.0,no,no,telephone,5,1,291,1,0,nonexistent,0
35,student,single,6.0,yes,no,telephone,5,1,248,1,0,nonexistent,0
36,student,single,3.0,yes,no,telephone,5,1,256,1,0,nonexistent,0
55,housemaid,divorced,6.0,no,no,telephone,5,1,286,1,0,nonexistent,0
59,admin.,married,6.0,no,no,telephone,5,1,477,1,0,nonexistent,0
57,retired,married,4.160934688394962,no,no,telephone,5,1,611,2,0,nonexistent,0
39,blue-collar,married,5.0,yes,no,telephone,5,1,471,1,0,nonexistent,0
39,housemaid,married,1.0,yes,no,telephone,5,1,381,2,0,nonexistent,0
30,blue-collar,single,4.160934688394962,yes,no,telephone,5,1,251,1,0,nonexistent,0
30,blue-collar,single,4.160934688394962,yes,yes,telephone,5,1,408,1,0,nonexistent,0
50,housemaid,married,1.0,no,no,telephone,5,1,287,1,0,nonexistent,0
40,services,married,4.0,no,no,telephone,5,1,322,3,0,nonexistent,0
35,admin.,married,4.0,yes,no,telephone,5,1,216,2,0,nonexistent,0
43,technician,married,4.160934688394962,no,no,telephone,5,1,366,2,0,nonexistent,0
36,services,single,2.0,yes,no,telephone,5,1,210,1,0,nonexistent,0
46,technician,married,1.0,yes,no,telephone,5,1,288,1,0,nonexistent,0
40,technician,married,3.0,no,no,telephone,5,1,168,1,0,nonexistent,0
58,retired,married,6.0,no,no,telephone,5,1,132,1,0,nonexistent,0
42,technician,married,6.0,no,no,telephone,5,1,64,2,0,nonexistent,0
35,admin.,single,6.0,no,no,telephone,5,1,209,2,0,nonexistent,0
43,retired,married,1.0,no,no,telephone,5,1,410,3,0,nonexistent,0
45,blue-collar,married,1.0,yes,yes,telephone,5,1,177,1,0,nonexistent,0
39,admin.,married,5.0,yes,no,telephone,5,1,580,2,0,nonexistent,0
50,services,divorced,5.0,yes,no,telephone,5,1,165,1,0,nonexistent,0
32,management,divorced,1.0,yes,no,telephone,5,1,127,2,0,nonexistent,0
39,admin.,married,4.0,no,no,telephone,5,1,357,1,0,nonexistent,0
52,self-employed,married,6.0,no,no,telephone,5,1,175,1,0,nonexistent,0
44,admin.,married,5.0,yes,no,telephone,5,1,300,1,0,nonexistent,0
56,blue-collar,married,1.0,no,no,telephone,5,1,136,1,0,nonexistent,0
48,admin.,married,4.0,no,no,telephone,5,1,125,2,0,nonexistent,0
33,services,married,4.0,no,yes,telephone,5,1,189,2,0,nonexistent,0
43,management,married,6.0,no,yes,telephone,5,1,213,3,0,nonexistent,0
57,retired,married,4.0,no,no,telephone,5,1,238,2,0,nonexistent,0
36,technician,single,5.0,no,no,telephone,5,1,124,1,0,nonexistent,0
34,management,married,6.0,yes,no,telephone,5,1,18,1,0,nonexistent,0
34,services,single,3.0,no,no,telephone,5,1,730,2,0,nonexistent,0
30,technician,married,6.0,no,no,telephone,5,1,40,1,0,nonexistent,0
33,services,divorced,4.160934688394962,no,no,telephone,5,1,181,2,0,nonexistent,0
32,technician,single,5.0,no,no,telephone,5,1,79,1,0,nonexistent,0
36,technician,single,4.0,yes,no,telephone,5,1,142,2,0,nonexistent,0
36,blue-collar,single,4.0,no,yes,telephone,5,1,389,1,0,nonexistent,0
33,services,single,4.0,no,no,telephone,5,1,702,1,0,nonexistent,0
40,technician,divorced,5.0,no,no,telephone,5,1,151,1,0,nonexistent,0
41,blue-collar,married,1.0,yes,no,telephone,5,1,211,1,0,nonexistent,0
51,services,married,2.0,yes,no,telephone,5,1,117,1,0,nonexistent,0
36,technician,married,5.0,yes,no,telephone,5,1,232,3,0,nonexistent,0
28,services,married,4.160934688394962,no,no,telephone,5,1,408,2,0,nonexistent,0
53,services,married,4.0,yes,yes,telephone,5,1,370,3,0,nonexistent,0
58,blue-collar,married,3.0,yes,no,telephone,5,1,179,2,0,nonexistent,0
45,management,married,3.0,no,yes,telephone,5,1,46,1,0,nonexistent,0
43,technician,married,4.160934688394962,yes,no,telephone,5,1,200,1,0,nonexistent,0
33,admin.,married,4.0,no,yes,telephone,5,1,50,1,0,nonexistent,0
33,admin.,married,4.0,no,yes,telephone,5,1,181,1,0,nonexistent,0
27,blue-collar,single,2.0,,,telephone,5,1,119,1,0,nonexistent,0
42,technician,married,4.0,no,no,telephone,5,1,361,1,0,nonexistent,0
43,admin.,divorced,3.0,no,no,telephone,5,1,73,3,0,nonexistent,0
42,admin.,married,6.0,no,no,telephone,5,1,67,2,0,nonexistent,0
27,blue-collar,single,2.0,no,no,telephone,5,1,350,1,0,nonexistent,0
34,self-employed,single,6.0,yes,no,telephone,5,1,150,2,0,nonexistent,0
31,student,single,6.0,no,no,telephone,5,1,332,2,0,nonexistent,0
54,management,divorced,6.0,no,no,telephone,5,1,611,2,0,nonexistent,0
40,self-employed,married,1.0,no,no,telephone,5,1,58,3,0,nonexistent,0
52,unemployed,married,4.0,yes,no,telephone,5,1,151,1,0,nonexistent,0
47,management,divorced,6.0,no,no,telephone,5,1,89,2,0,nonexistent,0
49,housemaid,married,3.0,no,no,telephone,5,1,152,1,0,nonexistent,0
32,admin.,single,4.0,no,no,telephone,5,1,611,2,0,nonexistent,0
49,housemaid,single,4.0,yes,yes,telephone,5,1,110,2,0,nonexistent,0
50,blue-collar,married,3.0,no,no,telephone,5,1,463,1,0,nonexistent,0
34,services,married,4.0,no,no,telephone,5,1,962,1,0,nonexistent,0
55,blue-collar,married,1.0,no,no,telephone,5,1,102,2,0,nonexistent,0
47,technician,single,3.0,no,no,telephone,5,1,10,4,0,nonexistent,0
51,retired,married,5.0,no,no,telephone,5,1,118,3,0,nonexistent,0
47,blue-collar,married,2.0,no,no,telephone,5,1,92,2,0,nonexistent,0
56,technician,married,1.0,yes,no,telephone,5,1,143,3,0,nonexistent,0
53,admin.,married,3.0,no,no,telephone,5,1,189,3,0,nonexistent,0
36,blue-collar,married,3.0,yes,no,telephone,5,1,75,2,0,nonexistent,0
42,blue-collar,divorced,3.0,yes,no,telephone,5,1,189,2,0,nonexistent,0
44,blue-collar,divorced,2.0,no,no,telephone,5,1,55,2,0,nonexistent,0
39,housemaid,married,3.0,yes,no,telephone,5,1,935,3,0,nonexistent,1
37,admin.,single,4.0,yes,yes,telephone,5,1,56,2,0,nonexistent,0
60,blue-collar,married,4.160934688394962,yes,no,telephone,5,1,5,2,0,nonexistent,0
36,services,married,4.0,no,no,telephone,5,1,225,2,0,nonexistent,0
42,management,divorced,6.0,yes,no,telephone,5,1,125,2,0,nonexistent,0
31,admin.,married,4.0,yes,yes,telephone,5,1,286,2,0,nonexistent,0
53,technician,divorced,5.0,no,yes,telephone,5,1,206,2,0,nonexistent,0
45,blue-collar,married,1.0,yes,no,telephone,5,1,164,2,0,nonexistent,0
37,technician,single,5.0,yes,no,telephone,5,1,98,2,0,nonexistent,0
47,self-employed,married,5.0,no,no,telephone,5,1,446,2,0,nonexistent,0
49,blue-collar,divorced,4.0,no,yes,telephone,5,1,742,2,0,nonexistent,0
36,admin.,married,6.0,yes,no,telephone,5,1,120,2,0,nonexistent,0
35,services,divorced,4.0,no,no,telephone,5,1,122,3,0,nonexistent,0
38,,married,4.160934688394962,no,no,telephone,5,1,362,4,0,nonexistent,0
38,services,single,4.0,no,no,telephone,5,1,357,2,0,nonexistent,0
50,blue-collar,divorced,4.0,no,yes,telephone,5,1,200,2,0,nonexistent,0
59,retired,married,5.0,no,no,telephone,5,1,107,2,0,nonexistent,0
43,,married,4.160934688394962,yes,no,telephone,5,1,267,2,0,nonexistent,0
42,admin.,married,4.0,yes,no,telephone,5,1,248,2,0,nonexistent,0
40,admin.,married,2.0,yes,no,telephone,5,1,215,2,0,nonexistent,0
46,blue-collar,married,4.160934688394962,no,no,telephone,5,1,209,2,0,nonexistent,0
57,housemaid,divorced,1.0,yes,yes,telephone,5,1,205,2,0,nonexistent,0
42,admin.,married,6.0,yes,no,telephone,5,1,261,3,0,nonexistent,0
41,blue-collar,married,1.0,yes,no,telephone,5,1,83,2,0,nonexistent,0
54,management,divorced,6.0,yes,no,telephone,5,1,106,3,0,nonexistent,0
27,admin.,single,6.0,no,no,telephone,5,1,106,2,0,nonexistent,0
36,admin.,married,4.0,no,no,telephone,5,1,108,2,0,nonexistent,0
58,blue-collar,married,5.0,yes,no,telephone,5,1,214,2,0,nonexistent,0
40,management,married,6.0,yes,no,telephone,5,1,358,2,0,nonexistent,0
34,admin.,single,3.0,no,no,telephone,5,1,453,2,0,nonexistent,0
33,admin.,divorced,4.0,no,no,telephone,5,1,364,2,0,nonexistent,0
56,retired,married,2.0,no,no,telephone,5,1,136,2,0,nonexistent,0
42,blue-collar,married,3.0,no,no,telephone,5,1,173,2,0,nonexistent,0
43,services,married,4.0,yes,no,telephone,5,1,241,2,0,nonexistent,0
54,management,single,3.0,yes,no,telephone,5,1,224,3,0,nonexistent,0
53,admin.,single,2.0,yes,yes,telephone,5,1,148,2,0,nonexistent,0
42,technician,single,4.160934688394962,no,no,telephone,5,1,230,2,0,nonexistent,0
40,services,married,2.0,no,no,telephone,5,1,199,3,0,nonexistent,0
54,technician,married,5.0,yes,yes,telephone,5,1,196,2,0,nonexistent,0
40,housemaid,single,5.0,no,no,telephone,5,1,111,4,0,nonexistent,0
26,admin.,single,6.0,yes,no,telephone,5,1,231,3,0,nonexistent,0
33,admin.,married,4.0,no,no,telephone,5,1,316,3,0,nonexistent,0
35,blue-collar,married,3.0,no,no,telephone,5,1,240,2,0,nonexistent,0
36,admin.,married,4.0,no,no,telephone,5,1,669,3,0,nonexistent,0
29,services,single,4.0,yes,no,telephone,5,1,425,2,0,nonexistent,0
36,blue-collar,married,3.0,yes,no,telephone,5,1,121,2,0,nonexistent,0
35,management,married,4.0,yes,no,telephone,5,1,174,5,0,nonexistent,0
50,self-employed,single,6.0,no,yes,telephone,5,1,88,5,0,nonexistent,0
46,services,married,4.0,yes,no,telephone,5,1,313,3,0,nonexistent,0
49,entrepreneur,married,4.0,yes,no,telephone,5,1,135,4,0,nonexistent,0
42,technician,single,5.0,yes,no,telephone,5,1,152,2,0,nonexistent,0
36,blue-collar,single,4.0,yes,yes,telephone,5,1,402,3,0,nonexistent,0
55,blue-collar,married,3.0,yes,no,telephone,5,1,221,2,0,nonexistent,0
41,management,married,6.0,no,no,telephone,5,1,213,2,0,nonexistent,0
57,management,married,5.0,yes,no,telephone,5,1,144,3,0,nonexistent,0
32,services,single,4.0,yes,no,telephone,5,1,158,3,0,nonexistent,0
49,admin.,married,3.0,no,no,telephone,5,1,220,3,0,nonexistent,0
57,,married,4.160934688394962,yes,no,telephone,5,1,325,2,0,nonexistent,0
58,blue-collar,divorced,1.0,yes,no,telephone,5,1,254,2,0,nonexistent,0
52,technician,married,4.0,yes,no,telephone,5,1,503,2,0,nonexistent,0
50,services,divorced,5.0,no,no,telephone,5,1,680,2,0,nonexistent,0
41,blue-collar,single,3.0,yes,no,telephone,5,1,421,4,0,nonexistent,0
33,entrepreneur,married,6.0,yes,no,telephone,5,1,130,3,0,nonexistent,0
57,blue-collar,married,1.0,no,no,telephone,5,1,164,2,0,nonexistent,0
48,blue-collar,married,2.0,no,no,telephone,5,1,174,3,0,nonexistent,0
55,technician,married,5.0,no,no,telephone,5,1,113,2,0,nonexistent,0
38,management,married,6.0,no,no,telephone,5,1,195,2,0,nonexistent,0
38,services,married,4.0,yes,no,telephone,5,1,347,3,0,nonexistent,0
